wardNumber,name,zone,minLat,maxLat,minLng,maxLng
79,Sagayarapuram,East,12.9999646,13.0107585,77.6120147,77.6226578
80,Pulikeshinagar,East,12.9871822,13.0064079,77.5965769,77.6201827
81,Horamavu,Mahadevapura,13.0249237,13.0851523,77.6370893,77.6723629
82,Babusab Palya,Mahadevapura,13.0129774,13.0337293,77.6327156,77.6631801
83,Kalkere,Mahadevapura,13.0167449,13.0525491,77.6595341,77.6885872
84,Ramamurthy Nagara,Mahadevapura,13.0033735,13.019985,77.6622826,77.6827224
85,Vijinapura,Mahadevapura,12.9974841,13.0119664,77.6632708,77.6771033
86,K R Puram,Mahadevapura,13.0006853,13.0227289,77.6743752,77.7155234
87,Medahalli,Mahadevapura,13.0140064,13.0341131,77.6781445,77.7249051
88,Basavanapura,Mahadevapura,12.9993079,13.0286895,77.6993523,77.7301164
89,Devasandra,Mahadevapura,12.9911972,13.0083521,77.6768101,77.7042375
90,Mahadevapura,Mahadevapura,12.9738862,13.0003705,77.674256,77.6958493
91,A Narayanapura,Mahadevapura,12.9854911,13.0007072,77.6627907,77.6773734
92,Vijnana Nagar,Mahadevapura,12.9627393,12.97558,77.665388,77.6868431
93,HAL Airport,Mahadevapura,12.9444438,12.9720309,77.6490392,77.6896353
94,Hennur,East,13.0277725,13.0455085,77.6102792,77.6449397
95,Nagavara,East,13.026201,13.0376194,77.6128189,77.6254365
96,Kadugondanahalli,East,13.0177844,13.0320498,77.6125417,77.62853
97,Venkateshpura,East,13.0089094,13.020571,77.6153416,77.6232772
98,Kacharkanahalli,East,13.0091033,13.0299265,77.6215399,77.6354224
99,HRBR Layout,East,13.0116409,13.0277538,77.6292273,77.6452066
100,Banasavadi,East,13.0058151,13.0234718,77.6418789,77.6623278
101,Kammanahalli,East,13.0039692,13.0144104,77.6328946,77.6430872
102,Lingarajapura,East,12.9979601,13.0134706,77.6195461,77.63362
103,Maruthi Seva Nagar,East,12.9926822,13.0062739,77.6223954,77.6427192
104,Kadugodi,Mahadevapura,12.9722033,13.0152384,77.751072,77.7769134
105,Belathur,Mahadevapura,12.9758601,13.0819932,77.6469082,77.763831
106,Hudi,Mahadevapura,12.9764193,13.0109332,77.704964,77.7395531
107,Garudachar Playa,Mahadevapura,12.9807455,12.9995316,77.6885086,77.7129834
108,Dodda Nekkundi,Mahadevapura,12.9554204,12.9881362,77.6840043,77.7117813
109,AECS Layout,Mahadevapura,12.9558834,12.9732265,77.7011403,77.7183777
110,Whitefield,Mahadevapura,12.9461708,12.9841775,77.7083327,77.7519982
111,Hagadur,Mahadevapura,12.9561953,12.9851948,77.7462586,77.7843613
112,Varthuru,Mahadevapura,12.9065679,12.9626937,77.7033746,77.7703603
113,Munnekollala,Mahadevapura,12.9086784,12.9566115,77.6854211,77.7254491
114,Marathahalli,Mahadevapura,12.923984,12.9570756,77.6845604,77.7068302
115,Bellanduru,Mahadevapura,12.921842,12.953956,77.6397392,77.6978564
116,Doddakanahalli,Mahadevapura,12.8929006,12.9298005,77.6537857,77.708363
117,C V Raman Nagar,East,12.9790492,13.012389,77.6435539,77.6683637
118,Lal Bahadur Nagar,East,12.9907797,13.0100629,77.636339,77.6617999
119,New Bayappanahalli,East,12.9814756,12.9999646,77.6167804,77.6485097
120,Hoysala Nagar,East,12.9737725,12.9857485,77.6243124,77.6467163
121,Old Thippasandra,East,12.9631785,12.9868514,77.640897,77.6554316
122,New Thippasandra,East,12.9671922,12.9857418,77.6469617,77.671011
123,Jalakanteshwara Nagara,East,12.972709,12.9863888,77.6681952,77.6804387
124,Jeevanbhima Nagar,East,12.9460134,12.9680789,77.6407726,77.6619648
125,Konena Agrahara,East,12.9525252,12.9632595,77.6525632,77.663582
126,Ramaswamy Palya,East,12.9942411,13.0094266,77.5951977,77.6087691
127,Jayamahal,East,12.9837341,13.0112171,77.5917303,77.6071802
128,Vasanth Nagar,East,12.9758613,12.9994627,77.5747918,77.6022251
129,Sampangiram Nagar,East,12.9621669,12.9879094,77.5810865,77.6154398
130,Bharathi Nagar,East,12.984845,12.9935376,77.6053638,77.6173005
